time,open,high,low,close
2025-05-21T00:05:00.000000000Z,1.12897,1.12909,1.12882,1.12898
2025-05-21T00:10:00.000000000Z,1.12896,1.129,1.12882,1.12884
2025-05-21T00:15:00.000000000Z,1.12884,1.12914,1.12881,1.12898
2025-05-21T00:20:00.000000000Z,1.12898,1.12938,1.12894,1.12932
2025-05-21T00:25:00.000000000Z,1.12931,1.12984,1.12931,1.12974
2025-05-21T00:30:00.000000000Z,1.12976,1.1299,1.12969,1.12988
2025-05-21T00:35:00.000000000Z,1.12988,1.13016,1.12961,1.12971
2025-05-21T00:40:00.000000000Z,1.12972,1.12988,1.12948,1.12962
2025-05-21T00:45:00.000000000Z,1.12963,1.12964,1.1292,1.12935
2025-05-21T00:50:00.000000000Z,1.12934,1.12952,1.12886,1.12936
2025-05-21T00:55:00.000000000Z,1.12938,1.1296,1.12908,1.12956
2025-05-21T01:00:00.000000000Z,1.12956,1.13028,1.12956,1.12988
2025-05-21T01:05:00.000000000Z,1.12988,1.1299,1.1295,1.12972
2025-05-21T01:10:00.000000000Z,1.12973,1.12983,1.12942,1.12947
2025-05-21T01:15:00.000000000Z,1.12946,1.12951,1.12896,1.12914
2025-05-21T01:20:00.000000000Z,1.12913,1.12928,1.12894,1.12894
2025-05-21T01:25:00.000000000Z,1.12894,1.12909,1.12878,1.12886
2025-05-21T01:30:00.000000000Z,1.12885,1.12904,1.12872,1.12898
2025-05-21T01:35:00.000000000Z,1.12896,1.12902,1.1287,1.12891
2025-05-21T01:40:00.000000000Z,1.12892,1.12936,1.12892,1.12926
2025-05-21T01:45:00.000000000Z,1.12924,1.12943,1.12924,1.12936
2025-05-21T01:50:00.000000000Z,1.12936,1.1295,1.12929,1.12948
2025-05-21T01:55:00.000000000Z,1.12949,1.12998,1.12946,1.12984
2025-05-21T02:00:00.000000000Z,1.12982,1.13084,1.12972,1.13079
2025-05-21T02:05:00.000000000Z,1.1308,1.13182,1.13066,1.13163
2025-05-21T02:10:00.000000000Z,1.13164,1.13226,1.13132,1.13178
2025-05-21T02:15:00.000000000Z,1.13176,1.13206,1.1315,1.13176
2025-05-21T02:20:00.000000000Z,1.13176,1.13194,1.13146,1.13192
2025-05-21T02:25:00.000000000Z,1.1319,1.13204,1.13164,1.13188
2025-05-21T02:30:00.000000000Z,1.1319,1.13213,1.13154,1.13176
2025-05-21T02:35:00.000000000Z,1.13174,1.13199,1.13139,1.13193
2025-05-21T02:40:00.000000000Z,1.13196,1.13236,1.13179,1.13218
2025-05-21T02:45:00.000000000Z,1.13218,1.13258,1.13216,1.13236
2025-05-21T02:50:00.000000000Z,1.13238,1.13255,1.13218,1.13254
2025-05-21T02:55:00.000000000Z,1.13256,1.13262,1.13208,1.13218
2025-05-21T03:00:00.000000000Z,1.13216,1.13252,1.132,1.13226
2025-05-21T03:05:00.000000000Z,1.13227,1.13242,1.1319,1.13204
2025-05-21T03:10:00.000000000Z,1.13204,1.13229,1.13199,1.13222
2025-05-21T03:15:00.000000000Z,1.13222,1.13264,1.13217,1.13218
2025-05-21T03:20:00.000000000Z,1.13218,1.13244,1.13214,1.13237
2025-05-21T03:25:00.000000000Z,1.13238,1.13238,1.13198,1.13237
2025-05-21T03:30:00.000000000Z,1.13238,1.13294,1.13237,1.13278
2025-05-21T03:35:00.000000000Z,1.13278,1.13318,1.13268,1.13314
2025-05-21T03:40:00.000000000Z,1.13315,1.13318,1.13282,1.13305
2025-05-21T03:45:00.000000000Z,1.13306,1.13331,1.13293,1.1333
2025-05-21T03:50:00.000000000Z,1.1333,1.134,1.1333,1.13355
2025-05-21T03:55:00.000000000Z,1.13352,1.13375,1.13328,1.13342
2025-05-21T04:00:00.000000000Z,1.1334,1.13352,1.1329,1.1329
2025-05-21T04:05:00.000000000Z,1.13291,1.13306,1.13278,1.13283
2025-05-21T04:10:00.000000000Z,1.13284,1.1329,1.13256,1.13282
2025-05-21T04:15:00.000000000Z,1.13282,1.13292,1.13272,1.13284
2025-05-21T04:20:00.000000000Z,1.13286,1.13299,1.13274,1.13284
2025-05-21T04:25:00.000000000Z,1.13284,1.13293,1.13274,1.13285
2025-05-21T04:30:00.000000000Z,1.13286,1.13288,1.13266,1.13286
2025-05-21T04:35:00.000000000Z,1.13285,1.13336,1.13276,1.13334
2025-05-21T04:40:00.000000000Z,1.13332,1.13356,1.13321,1.13346
2025-05-21T04:45:00.000000000Z,1.13344,1.13368,1.13338,1.13352
2025-05-21T04:50:00.000000000Z,1.13351,1.13353,1.13328,1.13328
2025-05-21T04:55:00.000000000Z,1.13326,1.13326,1.13265,1.1329
2025-05-21T05:00:00.000000000Z,1.1329,1.13332,1.13266,1.1333
2025-05-21T05:05:00.000000000Z,1.13332,1.13332,1.13269,1.13311
2025-05-21T05:10:00.000000000Z,1.13312,1.1333,1.13286,1.1329
2025-05-21T05:15:00.000000000Z,1.13291,1.13308,1.13271,1.133
2025-05-21T05:20:00.000000000Z,1.133,1.13365,1.13297,1.13358
2025-05-21T05:25:00.000000000Z,1.13356,1.1338,1.13349,1.1336
2025-05-21T05:30:00.000000000Z,1.13359,1.13362,1.13298,1.13318
2025-05-21T05:35:00.000000000Z,1.13318,1.13334,1.13286,1.13296
2025-05-21T05:40:00.000000000Z,1.13296,1.13352,1.13294,1.13334
2025-05-21T05:45:00.000000000Z,1.13336,1.13348,1.13308,1.13308
2025-05-21T05:50:00.000000000Z,1.13308,1.13326,1.13297,1.13312
2025-05-21T05:55:00.000000000Z,1.13314,1.13351,1.13308,1.1332
2025-05-21T06:00:00.000000000Z,1.13317,1.13367,1.13228,1.13254
2025-05-21T06:05:00.000000000Z,1.13255,1.13276,1.1322,1.13272
2025-05-21T06:10:00.000000000Z,1.13271,1.13388,1.13268,1.13386
2025-05-21T06:15:00.000000000Z,1.13383,1.1348,1.13382,1.13436
2025-05-21T06:20:00.000000000Z,1.13436,1.1348,1.13431,1.13464
2025-05-21T06:25:00.000000000Z,1.13464,1.13501,1.13436,1.13464
2025-05-21T06:30:00.000000000Z,1.13466,1.13491,1.13432,1.13465
2025-05-21T06:35:00.000000000Z,1.13464,1.13533,1.13444,1.13463
2025-05-21T06:40:00.000000000Z,1.13462,1.13474,1.13371,1.1339
2025-05-21T06:45:00.000000000Z,1.1339,1.13406,1.13336,1.13406
2025-05-21T06:50:00.000000000Z,1.13406,1.13424,1.13366,1.13392
2025-05-21T06:55:00.000000000Z,1.13392,1.13407,1.13311,1.13328
2025-05-21T07:00:00.000000000Z,1.13328,1.13342,1.13226,1.13234
2025-05-21T07:05:00.000000000Z,1.13234,1.1328,1.13222,1.1327
2025-05-21T07:10:00.000000000Z,1.1327,1.13274,1.13192,1.13194
2025-05-21T07:15:00.000000000Z,1.13195,1.13218,1.13142,1.13212
2025-05-21T07:20:00.000000000Z,1.13211,1.13273,1.13203,1.13244
2025-05-21T07:25:00.000000000Z,1.13243,1.13289,1.13238,1.13272
2025-05-21T07:30:00.000000000Z,1.13273,1.13292,1.13242,1.13243
2025-05-21T07:35:00.000000000Z,1.13244,1.13288,1.13228,1.13288
2025-05-21T07:40:00.000000000Z,1.13287,1.13329,1.13286,1.13294
2025-05-21T07:45:00.000000000Z,1.13292,1.13292,1.13198,1.1323
2025-05-21T07:50:00.000000000Z,1.1323,1.13276,1.1321,1.13274
