Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,21,20,80,1.0,0.02,2.0,85,88.05,50.59
USD_JPY,21,20,80,1.0,0.03,1.0,85,443.75,62.35
USD_JPY,21,20,80,1.0,0.03,1.5,85,315.94,56.47
USD_JPY,21,20,80,1.0,0.03,2.0,85,88.05,50.59
USD_JPY,21,20,80,1.5,0.02,1.0,85,238.9,60.0
USD_JPY,21,20,80,1.5,0.02,1.5,85,57.48,52.94
USD_JPY,21,20,80,1.5,0.02,2.0,85,45.79,51.76
USD_JPY,21,20,80,1.5,0.03,1.0,85,238.9,60.0
USD_JPY,21,20,80,1.5,0.03,1.5,85,57.48,52.94
USD_JPY,21,20,80,1.5,0.03,2.0,85,45.79,51.76
USD_JPY,21,20,80,2.0,0.02,1.0,85,1.86,51.76
USD_JPY,21,20,80,2.0,0.02,1.5,85,-39.35,49.41
USD_JPY,21,20,80,2.0,0.02,2.0,85,-71.48,48.24
USD_JPY,21,20,80,2.0,0.03,1.0,85,1.86,51.76
USD_JPY,21,20,80,2.0,0.03,1.5,85,-39.35,49.41
USD_JPY,21,20,80,2.0,0.03,2.0,85,-71.48,48.24
