time,open,high,low,close,volume
2025-04-01T03:45:00.000000000Z,1.29315,1.29342,1.29302,1.29334,1512
2025-04-01T04:00:00.000000000Z,1.29334,1.29386,1.2933,1.29354,988
2025-04-01T04:15:00.000000000Z,1.29354,1.2937,1.29338,1.29344,940
2025-04-01T04:30:00.000000000Z,1.29346,1.29402,1.29346,1.29383,1299
2025-04-01T04:45:00.000000000Z,1.29382,1.29409,1.2937,1.29376,1084
2025-04-01T05:00:00.000000000Z,1.29379,1.2938,1.29298,1.29298,1452
2025-04-01T05:15:00.000000000Z,1.29298,1.29314,1.2924,1.29251,1439
2025-04-01T05:30:00.000000000Z,1.29252,1.29264,1.29226,1.29252,1361
2025-04-01T05:45:00.000000000Z,1.29252,1.29254,1.29192,1.29198,1932
2025-04-01T06:00:00.000000000Z,1.29197,1.29197,1.2913,1.29176,2317
2025-04-01T06:15:00.000000000Z,1.29176,1.29209,1.29149,1.29162,1813
2025-04-01T06:30:00.000000000Z,1.29162,1.29218,1.29148,1.29218,2047
2025-04-01T06:45:00.000000000Z,1.29218,1.29291,1.29183,1.29223,2420
2025-04-01T07:00:00.000000000Z,1.29222,1.29223,1.2911,1.29194,3325
2025-04-01T07:15:00.000000000Z,1.29194,1.29203,1.29062,1.2912,2561
2025-04-01T07:30:00.000000000Z,1.29122,1.29148,1.29026,1.2904,2186
2025-04-01T07:45:00.000000000Z,1.2904,1.29105,1.29038,1.29092,2604
2025-04-01T08:00:00.000000000Z,1.2909,1.2919,1.29052,1.29174,2555
2025-04-01T08:15:00.000000000Z,1.29174,1.29254,1.29164,1.29237,2061
2025-04-01T08:30:00.000000000Z,1.29236,1.29304,1.29232,1.29254,2046
2025-04-01T08:45:00.000000000Z,1.29253,1.29296,1.29234,1.2926,2017
2025-04-01T09:00:00.000000000Z,1.2926,1.29374,1.2923,1.2935,2700
2025-04-01T09:15:00.000000000Z,1.2935,1.29356,1.29296,1.2934,2480
2025-04-01T09:30:00.000000000Z,1.29339,1.29382,1.29316,1.29338,1769
2025-04-01T09:45:00.000000000Z,1.29338,1.29384,1.29325,1.29348,1813
2025-04-01T10:00:00.000000000Z,1.29346,1.29354,1.29102,1.29171,4976
2025-04-01T10:15:00.000000000Z,1.29172,1.29226,1.29122,1.29197,3146
2025-04-01T10:30:00.000000000Z,1.29197,1.29221,1.29152,1.29186,2476
2025-04-01T10:45:00.000000000Z,1.29186,1.29232,1.29076,1.29076,2175
2025-04-01T11:00:00.000000000Z,1.29074,1.29136,1.29051,1.29106,3338
2025-04-01T11:15:00.000000000Z,1.29108,1.29132,1.29042,1.29052,1763
2025-04-01T11:30:00.000000000Z,1.29052,1.29064,1.28932,1.28971,2578
2025-04-01T11:45:00.000000000Z,1.2897,1.29018,1.28899,1.28907,2862
2025-04-01T12:00:00.000000000Z,1.28906,1.28996,1.28905,1.28974,2097
2025-04-01T12:15:00.000000000Z,1.28976,1.28994,1.2892,1.28974,2410
2025-04-01T12:30:00.000000000Z,1.28973,1.29002,1.28885,1.2891,2270
2025-04-01T12:45:00.000000000Z,1.28908,1.28936,1.28852,1.289,2302
2025-04-01T13:00:00.000000000Z,1.28901,1.28956,1.28858,1.28934,2892
2025-04-01T13:15:00.000000000Z,1.28935,1.28996,1.28916,1.28984,2123
2025-04-01T13:30:00.000000000Z,1.28984,1.28992,1.28871,1.28887,3047
2025-04-01T13:45:00.000000000Z,1.28888,1.28907,1.28795,1.28848,3381
2025-04-01T14:00:00.000000000Z,1.28846,1.29049,1.2882,1.29038,5516
2025-04-01T14:15:00.000000000Z,1.2904,1.29084,1.28953,1.28961,4290
2025-04-01T14:30:00.000000000Z,1.2896,1.29148,1.2895,1.29108,4346
2025-04-01T14:45:00.000000000Z,1.29106,1.29244,1.29079,1.29216,5125
2025-04-01T15:00:00.000000000Z,1.29218,1.29274,1.29178,1.29268,4123
2025-04-01T15:15:00.000000000Z,1.29267,1.29298,1.29238,1.29262,3163
2025-04-01T15:30:00.000000000Z,1.29262,1.29282,1.29186,1.29235,2959
2025-04-01T15:45:00.000000000Z,1.29232,1.29284,1.29206,1.2921,2741
2025-04-01T16:00:00.000000000Z,1.2921,1.29232,1.29176,1.29201,3040
2025-04-01T16:15:00.000000000Z,1.29202,1.29256,1.29178,1.29226,2170
2025-04-01T16:30:00.000000000Z,1.29228,1.29253,1.29189,1.29191,1984
2025-04-01T16:45:00.000000000Z,1.29192,1.29284,1.29172,1.29267,1596
2025-04-01T17:00:00.000000000Z,1.29266,1.2933,1.29258,1.29296,1771
2025-04-01T17:15:00.000000000Z,1.29294,1.29297,1.2923,1.2923,1472
2025-04-01T17:30:00.000000000Z,1.29228,1.29246,1.29199,1.29202,1231
2025-04-01T17:45:00.000000000Z,1.29202,1.2924,1.292,1.29226,1225
2025-04-01T18:00:00.000000000Z,1.29225,1.29226,1.29172,1.29194,1910
2025-04-01T18:15:00.000000000Z,1.29196,1.29198,1.2916,1.2917,1282
2025-04-01T18:30:00.000000000Z,1.29169,1.29192,1.29124,1.29162,1411
2025-04-01T18:45:00.000000000Z,1.29162,1.29163,1.29098,1.29104,1367
2025-04-01T19:00:00.000000000Z,1.29103,1.29142,1.29084,1.2914,1383
2025-04-01T19:15:00.000000000Z,1.2914,1.29178,1.29132,1.29166,1299
2025-04-01T19:30:00.000000000Z,1.29165,1.29166,1.2913,1.29132,1313
2025-04-01T19:45:00.000000000Z,1.29133,1.29212,1.29132,1.2921,1076
2025-04-01T20:00:00.000000000Z,1.2921,1.29221,1.29184,1.29205,534
2025-04-01T20:15:00.000000000Z,1.29204,1.29226,1.29192,1.29193,249
2025-04-01T20:30:00.000000000Z,1.29192,1.29206,1.29182,1.29203,203
2025-04-01T20:45:00.000000000Z,1.29206,1.29294,1.29196,1.29228,1943
2025-04-01T21:00:00.000000000Z,1.29228,1.29254,1.29228,1.29238,23
2025-04-01T21:15:00.000000000Z,1.2924,1.29243,1.29218,1.29223,217
2025-04-01T21:30:00.000000000Z,1.29224,1.29229,1.29214,1.29226,103
2025-04-01T21:45:00.000000000Z,1.29226,1.29234,1.29214,1.29233,148
2025-04-01T22:00:00.000000000Z,1.29236,1.29284,1.29228,1.29243,1263
2025-04-01T22:15:00.000000000Z,1.29242,1.29322,1.29242,1.29309,930
2025-04-01T22:30:00.000000000Z,1.2931,1.29332,1.2928,1.29299,428
2025-04-01T22:45:00.000000000Z,1.293,1.29303,1.29258,1.29283,250
2025-04-01T23:00:00.000000000Z,1.29283,1.29283,1.29228,1.29246,615
2025-04-01T23:15:00.000000000Z,1.29245,1.29272,1.2924,1.29262,452
2025-04-01T23:30:00.000000000Z,1.29264,1.29276,1.29227,1.29234,712
2025-04-01T23:45:00.000000000Z,1.29234,1.2925,1.29214,1.29216,513
2025-04-02T00:00:00.000000000Z,1.29215,1.29222,1.29131,1.29144,1732
2025-04-02T00:15:00.000000000Z,1.29142,1.29166,1.29121,1.29144,1405
2025-04-02T00:30:00.000000000Z,1.29146,1.2916,1.29118,1.29122,1318
2025-04-02T00:45:00.000000000Z,1.29122,1.29138,1.29101,1.29108,1157
2025-04-02T01:00:00.000000000Z,1.29106,1.29122,1.29062,1.29093,1312
2025-04-02T01:15:00.000000000Z,1.29092,1.29112,1.2908,1.29108,1315
2025-04-02T01:30:00.000000000Z,1.29108,1.2918,1.29093,1.29166,1638
2025-04-02T01:45:00.000000000Z,1.29168,1.29212,1.29152,1.29195,1417
2025-04-02T02:00:00.000000000Z,1.29196,1.2922,1.29175,1.29204,1267
2025-04-02T02:15:00.000000000Z,1.29203,1.29292,1.2918,1.29278,1268
2025-04-02T02:30:00.000000000Z,1.29278,1.29306,1.29234,1.29242,1100
2025-04-02T02:45:00.000000000Z,1.2924,1.29249,1.2921,1.29222,916
2025-04-02T03:00:00.000000000Z,1.29222,1.29255,1.29209,1.2925,794
2025-04-02T03:15:00.000000000Z,1.29251,1.29261,1.2923,1.2924,775
2025-04-02T03:30:00.000000000Z,1.29241,1.29242,1.2921,1.2921,549
2025-04-02T03:45:00.000000000Z,1.2921,1.2923,1.292,1.29214,594
